spoonacular_recipe_id,title,instructions,servings,ready_in_minutes,image_url,created_at,updated_at
511748,Breakfast Tacos,"Cook potato in microwave. Slice and cut into thin strips.In a small saut pan heat butter over medium heat. Add potato to pan and lightly brown potato, season with salt and pepper.Add eggs to potato. Stir to scramble and combine.Wrap tortillas in a damp paper towel. Heat in microwave for about 45 seconds.Place equal amounts in each tortilla and top with shredded cheese.",2,45,https://xeucxcfsrxiytajlaskq.supabase.co/storage/v1/object/public/recipe-images/511748.jpg,2026-03-14 22:24:20.954535+00,2026-03-14 22:24:21.052+00
622825,Tortilla Burger Loco Vaca,"<ol><li>Put the tortillas in the oven at about 80°C just to get them warm.</li><li>Fry the strips of bacon until crispy, then put the bacon in the oven to keep it warm.</li><li>Spice the ground beef with salt, pepper, and cumin.</li><li>Form 2 large patties and start frying the patties in a well heated pan.</li><li>Slice the avocado and the red onion.</li><li>Get the tortillas out of the oven and prepare them with the onion, avocado, bacon, cheddar, cilantro, and the patties.</li><li>Wrap it all up and then wrap your teeth around it.</li></ol>",2,40,https://xeucxcfsrxiytajlaskq.supabase.co/storage/v1/object/public/recipe-images/622825.jpg,2026-03-14 22:23:24.178217+00,2026-03-14 22:23:24.277+00
631757,Savory Slow Roasted Tomatoes with Filet of Anchovy,"Preheat oven to 150 C or 280 F
Cut the top 3rd off the tomatoes & discard top.
Place tomatoes on a baking tray, lined with parchment paper. Sprinkle generously with salt, pepper & herbs. Drizzle with a generous amount of olive oil.  Place in the oven for 4-6 hours depending on the size of your tomatoes. Every once in a while as you pass the kitchen, baste the tomatoes in the juices & olive oil in the pan.
Once the tomatoes shrivel up a bit & start to look sun-dried, they are ready. They should still hold their shape & not become mush.
Remove from oven, top each tomato with a whole anchovy filet. Serve warm or room temperature with olive oil from the baking pan drizzled over the top.",4,45,https://xeucxcfsrxiytajlaskq.supabase.co/storage/v1/object/public/recipe-images/631757.jpg,2026-03-14 22:23:31.430689+00,2026-03-14 22:23:31.532+00
631807,"Toasted"" Agnolotti (or Ravioli)","Preheat oven to 180 degrees Celsius (350 F) for a fan-forced oven or 200 degrees Celsius (392 F) for a convection oven.
Line a baking tray with baking paper.
Spray a thin layer of olive oil (any oil of your choice will do) on the baking paper. Set aside.
Crack and beat an egg on a plate. On a separate plate  add breadcrumbs.
Dip agnolotti in the beaten egg first.
Then coat it with breadcrumbs.  Repeat step 5 and 6 with the remaining agnolotti until egg and breadcrumbs are finished.
Place the crumbed agnolotti onto a baking tray. Once youve completed step 5 and 6, spray another thin layer of oil over the crumbed aganolotti. Bake the crumbed agnolotti for 25 minutes or until golden brown.
Serve immediately with pasta sauce or ketchup.",2,45,https://xeucxcfsrxiytajlaskq.supabase.co/storage/v1/object/public/recipe-images/631807.jpg,2026-03-14 22:24:16.414134+00,2026-03-14 22:24:16.507+00
631814,"$50,000 Burger","<ol><li>Prepare a medium-hot fire in a charcoal grill with a cover, or preheat a gas grill to medium-high.</li><li>For the patties:</li><li>Combine the chuck, basil, sun-dried tomatoes, onion, garlic, and salt in a large bowl, handling as little as possible. Shape into 2 patties to fit the bun size. Loosely cover with plastic wrap and set aside.</li><li>For the fennel:</li><li>Grate 1/2 teaspoons zest from the lemons. Put the fennel rings in a medium-sized bowl (I used half a fennel bulb) and juice the lemon over half the fennel and toss to coat all the fennel rings. Add oil and season with salt. Put the fennel in a grill basket and grill, shaking the basket occasionally, until soft, 10 to 12 minutes. (I did this on the stove top) Transfer the fennel to a sheet of foil, sprinkle with the lemon zest, and wrap to keep warm.</li><li>Heat a large, heavy nonstick fire-proof skillet on the grill. Add the bacon and cook until crisp. Transfer to paper towels to drain. Wrap in foil to keep warm.</li><li>For the topping:</li><li>Drain off the bacon fat from the skillet, wipe out the skillet with paper towels, and set the skillet back on the grill. Add the walnuts to the skillet and toast until golden and fragrant; set aside.</li><li>Whisk the vinegar with the oil in a small bowl and season with salt, to taste. Combine the figs, arugula, and toasted walnuts in a medium bowl. Toss with just enough dressing to coat. (I like a tart vinaigrette so I use a 1:1 ratio for the oil and vinegar)</li><li>When the grill is ready, brush the grill rack with vegetable oil. Place the patties on the rack, cover, and cook, turning once, until done to preference, 5 to 7 minutes on each side for medium. Place the cheese slices on the patties during the last 3 minutes of grilling. Place the buns, cut side down, on the outer edges of the rack to toast lightly during the last 2 minutes of grilling.</li><li>To assemble the burgers, place equal portions of the warm grilled fennel on each bun bottom, followed by a cheese-topped patty, 2 bacon slices, and an equal portion of the fig-arugula topping. (I would use a lot of the fig topping) Add the bun tops and serve.</li></ol>",4,45,https://xeucxcfsrxiytajlaskq.supabase.co/storage/v1/object/public/recipe-images/631814.jpg,2026-03-14 23:20:21.930903+00,2026-03-14 23:20:22.064+00
631834,10-Minute Bean Stew,"Add the canned tomatoes, kidney beans, tomato puree and thyme to a large saucepan. Cut 5 cherry tomatoes into quarters and crush 2 garlic gloves - add them to the pan.
Add the juice of half a lemon along with salt and pepper to taste.
Turn on the heat. Bring the stew to a boil before turning down the heat to allow it to simmer for 8-10 minutes. Season with salt and pepper before serving.",2,45,https://xeucxcfsrxiytajlaskq.supabase.co/storage/v1/object/public/recipe-images/631834.jpg,2026-03-14 23:05:38.040966+00,2026-03-14 23:05:38.195+00
632017,Agedashi Tofu,"<ol><li>Cut tofu into 12 cubes. Place cornstarch on a plate or in a shallow bowl and dredge tofu in it, coating thoroughly.</li><li>Heat enough oil so that tofu will be half-way submerged. Fry tofu in hot oil for 3 to 5 minutes on each side, or until crispy. Drain on paper towels.</li><li>Sprinkle green onions over tofu and drizzle with hoisin sauce. Serve immediately.</li></ol>",1,45,https://xeucxcfsrxiytajlaskq.supabase.co/storage/v1/object/public/recipe-images/632017.jpg,2026-03-14 22:23:47.294094+00,2026-03-14 22:23:47.392+00
632046,Alaskan Smoked Salmon Nicoise Salad With Alouette Crumbled Feta,"<ol><li>Prepare the dressing with the olive oil, chopped basil, garlic, salt, pepper and vinegar, Refrigerate.</li><li>Quarter the tomatoes.  Thinly slice the eggs.  Halve the cucumber and cut it into thin slices.  Slice the onion into thing rings</li><li>Instead of mixing the ingredients together, which you can do, I like to arrange them on a salad place for clor and appearance.  Sprinkle the cheese on top, drizzle with the dressing and serve.</li></ol>",12,45,https://xeucxcfsrxiytajlaskq.supabase.co/storage/v1/object/public/recipe-images/632046.jpg,2026-03-14 23:11:42.352365+00,2026-03-14 23:11:42.505+00
632050,Albondigas (Meatball Soup),"<ol><li>Preheat oven to 350 degrees.</li><li>Combine beef, onion,  cup celery, garlic, cumin, eggs, rice, parsley, oregano, and bread crumbs, and salt and pepper.</li><li>Mix well. Form into 30 small meatballs.</li><li>Bake on baking sheet at 350 degrees for 20 minutes, set aside.</li><li>Place the potatoes in boiling water and cook until tender, but not too soft. Drain and set aside.</li><li>Heat olive oil in a large stock pot.</li><li>Add carrots,  cup celery, and garlic.</li><li>Saut for about 5 minutes.</li><li>Add the tomatoes, chili flakes, and the potatoes.</li><li>Add the chicken stock and season to taste with salt and pepper.</li><li>Bring to boil, reduce heat and simmer for 30 minutes.</li><li>Add meatballs and simmer on low heat until ready to serve.</li><li>Serve hot and garnish with cilantro and lime and corn tortillas.</li></ol>",1,45,https://xeucxcfsrxiytajlaskq.supabase.co/storage/v1/object/public/recipe-images/632050.jpg,2026-03-14 22:24:28.247884+00,2026-03-14 22:24:28.35+00
632297,Amatriciana,"<ol><li>In a pot heat the olive oil, add the clove of garlic & onions on low heat season with salt & chili flakes as you like. Saute slowly without color for 10 minutes. As you stir try to mash up the onions.</li><li>Add guanciale or pancetta cook for an additional 5 - 6 minutes.</li><li>Remove garlic clove & add tomatoes. Bring to a simmer for 10 minutes. Add a little pasta water if it gets too thick.</li><li>Toss with fresh cooked pasta (bucatini is best) & Parmesan cheese.</li></ol>",4,45,https://xeucxcfsrxiytajlaskq.supabase.co/storage/v1/object/public/recipe-images/632297.jpg,2026-03-14 22:24:33.729804+00,2026-03-14 22:24:33.822+00
632342,An American Beef Burger,"Place the meat, egg, garlic shallot, salt and pepper in a bowl and mix through with your hands. Do this until everything is as even as possible - you wouldn't want to get a mouthful of onion or garlic!  Divide the burger mix into 4 equal parts.  Form each burger by rolling it into a ball in your hands and flatten a little, but keep them nice and thick.
Heat the oil in a heavy bottomed pan, when hot, place the burgers in the pan. The heat should be medium/hot.
The cooking time will depend on how thick you make your burger and how you like them cooked. I find that my burgers take about 4 to 6 minutes on each side for a burger that is about 3cm thick (just over an inch) for a medium result.
When the burgers are cooked, lift them out of the pan and set aside. Take your burger buns and place them face down in the pan, toast them in the burger flavour for a minute or two on each side.
To serve, place the little gem leaves on your bread, then the tomato, the burgers on top, lay over a couple of slices of pickle and some sliced raw onion on top.",4,45,https://xeucxcfsrxiytajlaskq.supabase.co/storage/v1/object/public/recipe-images/632342.jpg,2026-03-14 23:18:10.841439+00,2026-03-14 23:18:10.975+00
632353,Andouille Sausage and Potato Hash,"Preheat the oven to 425. Toss the potato, peppers, and onions with 1 teaspoon canola oil.
Spread onto a baking sheet. Sprinkle with garlic salt and pepper. Roast for 10 minutes.
Add the sliced sausage to the pan and roast for an additional 10 minutes.
Sprinkle with a dash of cayenne pepper.
Garnish with finely chopped scallions if desired. Enjoy!",1,45,https://xeucxcfsrxiytajlaskq.supabase.co/storage/v1/object/public/recipe-images/632353.jpg,2026-03-14 22:23:11.930165+00,2026-03-14 22:23:12.021+00
632741,Arroz De Galinha (Reinvented),"Slice the chicken breasts into strips and place in a bowl. Wash hands and cutting surface thoroughly.
Crush and mince the garlic cloves in another bowl. Add in a pinch or so of each herb/spice and the vinegar and mix well with a fork. Put the marinade in the bowl with the chicken and stir to coat the chicken.
Wrap with plastic wrap and place in the fridge until ready to use.
In a large skillet over medium high heat, add in the olive oil. Next, add onion and red bell pepper, sauteing until the onion is translucent, about a minute or so.
Add in the chicken and cook until browned on the outside. Reduce heat to medium.
Toss in the pepper flakes, salt & pepper, zest of the lemon, half the cilantro and stir. Remove the chicken/onion/pepper mixture from the pan and place in a bowl, cover with foil and set aside.
Slice the chorio at an angle and place in the hot skillet and allow to cook until it gets crispy bits around the edges. Remove from pan and add to the chicken bowl.
Pour the wine into the pan to de-glaze it, lightly scraping the yummy bits off the bottom of the pan as it cooks. Add in the tomato sauce and bring to a simmer and allow to cook 5 minutes or so.
Toss the chicken/chorio/veggie mix back into the pan along with the juice of the lemon. Stir well and again allow to simmer for about 5 minutes or until youre certain the chicken is cooked through. Remove from heat.
Spoon the chicken mixture into the rice bowls and top with cilantro.",6,45,https://xeucxcfsrxiytajlaskq.supabase.co/storage/v1/object/public/recipe-images/632741.jpg,2026-03-14 23:13:21.567286+00,2026-03-14 23:13:21.693+00
632819,Asian Chickpea Lettuce Wraps,"Drain and rinse both cans of chickpeas.
Place chickpeas in a food processor and puree in 5-10 second increments. You do not want to turn the chickpeas into a mash, you simply want to grind them into pieces.
Add 1 tbsp of olive oil to a pan and heat.
Add the chickpeas and let cook over medium heat for 3-4 minutes, continuously stirring so as not to burn.
Add remaining ingredients, except basil, and stir. Cook over low heat for 10 minutes, stirring occassionally.
If using basil leaves, add them and cook for 1-2 minutes, stirring the basil in and allowing it to wilt.
Wash lettuce leaves and pat dry.
Spoon a healthy serving of chickpea mixture onto lettuce wraps and serve immediately. Drizzle with sirachi sauce if desired.",6,45,https://xeucxcfsrxiytajlaskq.supabase.co/storage/v1/object/public/recipe-images/632819.jpg,2026-03-14 23:08:22.518235+00,2026-03-14 23:08:22.66+00
632869,Asian Pork Salad,"<ol><li>For the marinade, mix together all the ingredients with the exception of the pork.</li><li>Slice the pork into 1"" strips and mix into the marinade, coating completely. Cover and place in fridge for 1 to 2 hours.</li><li>After marinating, cook up in a preheated wok set to medium high heat for 4 to 5 minutes or until cooked through.</li><li>For the dressing, mix together all the listed ingredients.</li><li>Assemble salad with desired toppings including pork, edamame, mandarin oranges, snow peas, carrots, broccoli, red pepper, and chow mein noodles.</li><li>Pour dressing over the top of the salad and serve.</li></ol>",4,45,https://xeucxcfsrxiytajlaskq.supabase.co/storage/v1/object/public/recipe-images/632869.jpg,2026-03-14 23:14:36.956896+00,2026-03-14 23:14:37.108+00
632908,Asparagus & Ham Spirals,"<ol><li>Pre-heat the oven to 375.</li><li>Start you asparagus on the stove top, place the trimmed asparagus in a skillet and cover with water. Bring to a  boil and reduce to a simmer for 3-5 minutes. When completed, drain and set aside.</li><li>Open the can of dough, instead of triangles pair two triangles to create a rectangle. You'll have four rectangles. Spread some cream cheese over the dough almost to the edges. Next lay down a few pieces of deli ham, top with asparagus stalks. Roll the dough over long ways and gently press to seal the edge. {Try to roll these tightly, the asparagus will fall out otherwise!}</li><li>With a sharp knife, slice the rolled spirals into 7-8 pieces. Place the pieces about 1 inch apart on a greased baking sheet. Melt about a tablespoon of butter and combine with a sprinkle of garlic powder. Brush or drizzle the butter over the tops of the spiral. Bake in the oven for 10-12 minutes, or until golden brown.</li></ol>",1,45,https://xeucxcfsrxiytajlaskq.supabase.co/storage/v1/object/public/recipe-images/632908.jpg,2026-03-14 23:17:58.422281+00,2026-03-14 23:17:58.553+00
633028,Aubergine With Ground Beef,"<ol><li>Peel aubergine and cut into thin slices. Brown ground beef; add diced onion.</li><li>Add 1/2 cup bread crumbs, tomato sauce, parsley, salt, pepper and 2 tablespoons grated cheese. Layer aubergine, ground beef mixture, aubergine, ground beef, etc. Cook in 350 degree oven for 45 minutes.</li></ol>",1,45,https://xeucxcfsrxiytajlaskq.supabase.co/storage/v1/object/public/recipe-images/633028.jpg,2026-03-14 22:24:47.756615+00,2026-03-14 22:24:47.85+00
633119,Avocado & Tomato Salad Topped with Grilled Shrimp,"<ol><li>Place the corn tortillas on a baking sheet (or straight onto the rack like I did haha) and bake for about 8-10 mins in a 375 degree oven or until golden and crisp.</li><li>For the salad, mix together the avocado, tomato, juice of a lime, cilantro, a few sprinkles of garlic powder, salt and pepper.</li><li>Rinse the shrimp, pat dry and season with salt and pepper. Grill 2-3 mins per side on a hot grill. Layer it up... corn tortilla, salad and those gorgeous shrimp. Finish it off with a squeeze of fresh lime juice!</li><li>*****</li><li>Now for the salad. We had this for lunch the following day. You can heat the shrimp up a bit in a hot pan or serve cold in this salad. The base is baby arugula, topped with half a sliced avocado, the grilled shrimp, plum tomato and a slice of turkey bacon (my fav, Applegate brand turkey bacon! No nitrates or nitrites added). Dressed super simply with lime juice and a drizzle of olive oil.</li></ol>",2,45,https://xeucxcfsrxiytajlaskq.supabase.co/storage/v1/object/public/recipe-images/633119.jpg,2026-03-14 22:23:20.960669+00,2026-03-14 22:23:21.058+00
633120,Avocado and Cannellini Bean Salad,"<ol><li>Throw all of the ingredients together in a container. Measure out the dressing and place in a plastic baggie. When ready to eat pour in the dressing, shake and enjoy!</li></ol>",1,45,https://xeucxcfsrxiytajlaskq.supabase.co/storage/v1/object/public/recipe-images/633120.jpg,2026-03-14 22:24:02.386961+00,2026-03-14 22:24:02.48+00
633144,Avocado Nests,"Cook hash browns according to direction.
Cut bacon slices into thin strips and bake or fry as you prrefere.
Make deviled eggs; mix a bit of mayonaise or cream cheese with egg yolks and divide equally into the egg white halves.
Cut avocados in half, remove seed and peel.
Place hash browns on plate and sprinkle with bacon.
Place eggs into seed cavity of avocados.
Rest avocados on the bed of hash browns and bacon.",4,45,https://xeucxcfsrxiytajlaskq.supabase.co/storage/v1/object/public/recipe-images/633144.jpg,2026-03-14 23:10:04.455497+00,2026-03-14 23:10:04.607+00
633157,Avocado Shrimp,<ol><li>Cut an avocado in half and remove pit. Thaw or cook shrimp. Drain shrimp well and put in avocado halves and arrange the rest around the avocados. Place a dollop of mayo on the plate. Place a splash of cocktail sauce on top of mayo. Sprinkle everything lightly with paprika.</li></ol>,1,45,https://xeucxcfsrxiytajlaskq.supabase.co/storage/v1/object/public/recipe-images/633157.jpg,2026-03-14 22:22:48.887375+00,2026-03-14 22:22:48.99+00
633160,"Avocado Toast With Caramelized Sweet Onion, Grape Tomatoes, Fresh Garden Chives and Chive Blossoms","Saute sliced onions and tomatoes with olive oil over medium high heat for 5-8 minutes. Season with salt and pepper. Set aside.
Toast two slices of bread in a toaster.
Evenly smear avocado onto each slice of toast. Sprinkle with salt and pepper.
Top toast with onions and tomatoes.
Garnish with fresh chives and chive blossoms.",2,45,https://xeucxcfsrxiytajlaskq.supabase.co/storage/v1/object/public/recipe-images/633160.jpg,2026-03-14 23:09:06.481667+00,2026-03-14 23:09:06.632+00
633165,Avocado Tomato & Mozzarella Panini,"Top 4 slices of bread with a layer of mozzarella, tomato, avocado slices and another layer of mozzarella.
Spread a little butter on both outsides of the sandwiches and grill until bread is toasted and cheese is melted.
Serve warm and enjoy!",4,45,https://xeucxcfsrxiytajlaskq.supabase.co/storage/v1/object/public/recipe-images/633165.jpg,2026-03-14 22:23:49.403353+00,2026-03-14 22:23:49.506+00
